year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2008,,"Thomas Rutherfood, Inc. v. Cooley",https://www.westlaw.com/Document/I8db990eee77911dc9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=183&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. North Carolina, Charlotte Division.",26-Feb-08,Not Reported in F.Supp.2d,2008 WL 544848,3:07-CV-180,"THIS MATTER is before the Court on the defendants' Motion to Dismiss (Doc. No. 22) portions of Counts I and V of the Amended Complaint (Doc. No. 16), the plaintiff's Response (Doc. No. 24), the magistrate judge's Memorandum and Recommendation (M & R) (Doc. No. 27), which recommended that the motion be denied. The parties were advised that...","...Defendant has made a practice of hiring salespersons who have non- competition and/or non-solicitation agreements with their former employers, contending...","...of business, we will provide funding in the buyout of non- compete agreements. On November 26, 2007, the Defendants filed their Motion...","...882 F.2d 870, 872 (4th Cir.1989) In Virginia, non- competition agreements must be scrutinized closely, and where ambiguous, must be...","...law does not look favorably upon restraints of trade, including noncompetition agreements); Omniplex World Services v. U.S. Investigations Servs., Inc., 270 Va. 246, 249, 618 S.E.2d 340, 342 (2005) ( non- competition agreement enforceable if contract is narrowly drawn to protect employer's..."
2008,,Ventimiglia v. AT & T Yellow Pages,https://www.westlaw.com/Document/I8dbaa237e77911dc9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=668&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Missouri, Eastern Division.",26-Feb-08,543 F.Supp.2d 1038,2008 WL 544722,4:07CV01759 ERW,ANTITRUST - Monopolies. Telephone directory publisher was not subject to liability under §2 of Sherman Act.,"...Sherman Act, plaintiffs must show that defendants acquired and maintained noncompetitive position. Sherman Act, §2 15 U.S.C.A. §2 [8...","...pricing, Plaintiffs must show that Defendants acquired and maintained a noncompetitive position. Henry v. Chloride, Inc., 809 F.2d 1334, 1345...","...the future, in other words, that they were maintaining a noncompetitive position.  Plaintiffs allegations show only that Plaintiffs initial price was...",
2010,,Mission Critical Solutions v. U.S.,https://www.westlaw.com/Document/Ib292bfd72c2811df8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=831&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,United States Court of Federal Claims.,26-Feb-10,91 Fed.Cl. 386,2010 WL 785564,09-864 C,"GOVERNMENT CONTRACTS - Bidding. In bid protest action, HUBZone program had priority over business development program, under Small Business Act.",...that Congress expressly stated when it was prioritizing a particular noncompetitive provision or program under the Small Business Act. Def.'s Resp...,,,
2010,,Viad Corp v. Houghton,https://www.westlaw.com/Document/Icdfd43c528f511df8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=136&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Illinois, Eastern Division.",26-Feb-10,Not Reported in F.Supp.2d,2010 WL 748089,08-CV-6706,"On November 21, 2008, Plaintiff Viad Corp (Viad) filed a one-count complaint alleging that Defendant Anne Houghton breached a provision contained within Viad's Management Incentive Plan when she left Viad's employment and took a job with a competitor. Both parties have moved for summary judgment [26, 38]. For the following reasons, the Court...","...Illinois courts would enforce the repayment provision. Generally, Illinois disfavors non- compete provisions in employee contracts. See Advent Elecs., Inc. v. Buckman...","...F.2d 480, 482 n. 1 (9th Cir.1987) a non- competition forfeiture clause in a pension plan is not like a non- competition agreement in the employment contract, which may unreasonably restrain trade...","...15 (Ill.App.Ct. 4th Dist.1973) (treating employment agreement like a covenant not to compete, whereby the employee, a life insurance agent, would forfeit certain...","...bonus does not have the makings of a traditional, disfavored covenant not to compete, because it does not prevent post-termination employment, but only..."
2007,,"Moore v. Rural Health Services, Inc.",https://www.westlaw.com/Document/I3848f61bcc2a11dbbac2bdccc67d8763/View/FullText.html?listSource=Search&list=CASE&rank=255&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. South Carolina, Aiken Division.",27-Feb-07,Not Reported in F.Supp.2d,2007 WL 666796,CIV.A.1:04 376 RBH,"In this matter, the plaintiff, Thomas A. Moore (Moore), alleges as federal claims violations of Title VII, 42 U.S.C. § 2000e, and 42 U.S.C. § 1981. He also alleges state common law claims for breach of contract, defamation, invasion of privacy, and intentional infliction of emotional distress. The defendant, Rural Health Services, Inc. (the...","...way of counterclaim state common law claims of breach of covenant not to compete, restitution, and abuse of process. On February 22, 2005, the...",...action is accordingly denied. Counterclaim by Defendant for Breach of Covenant Not to Compete Defendant contends that it is undisputed that the plaintiff intended...,"...Defendant asserts counterclaims against the Plaintiff for breach of the covenant not to compete, restitution, and abuse of process. Defendant filed a motion for...","...has asserted counterclaims against the Plaintiff for breach of the covenant not to compete, restitution, and abuse of process. Breach of covenant not to compete. Defendant alleges in its first counterclaim that Plaintiff's employment contract included a covenant not to compete, and that Plaintiff breached this covenant when he signed a..."
2009,,"Senture, LLC v. Dietrich",https://www.westlaw.com/Document/I00b208e0ca3311e7b3adfa6a631648d5/View/FullText.html?listSource=Search&list=CASE&rank=42&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Virginia, Norfolk Division.",27-Feb-09,Slip Copy,2009 WL 10690317,2:08CV237,"The above-styled case comes before this Court upon the motion of Defendant SAIC, Inc. (SAIC) to dismiss for failure to state a claim upon which relief can be granted, pursuant to Federal Rule of Civil Procedure 12(b)(6). On February 2, 2009, Plaintiff Senture, LLC (Senture) filed a Response. On February 9, 2009, SAIC...","...against Dietrich and Swider, arguing that they had breached the covenant not to compete and confidentiality provisions in their Employment Agreements with Senture, tortiously...",...that Dietrich and Swider with breach of the Employment Agreements' covenant not to compete (Count One) and confidentiality provision (Count Two); breach of the...,...is denied as to Count Three because the Employment Agreements' non- compete clause is valid under Kentucky law and because Senture has...,...Court has applied Kentucky law to the interpretation of the non- compete agreements as they relate to the individual defendants Virginia law...
2009,,Cooke v. Rosenker,https://www.westlaw.com/Document/If7cc062e04f711deb7e683ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=801&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, District of Columbia.",27-Feb-09,601 F.Supp.2d 64,2009 WL 484955,CIV. A. 06-1928 JDB,LABOR AND EMPLOYMENT - Discrimination. Failure to promote employee because she was not most qualified candidate was not pretext for retaliation.,...then the employee who holds the reclassified position cannot be noncompetitively promoted to the SES position unless that employee previously held...,"...never held a career SES appointment, she could not be noncompetitively promoted to the SES level position. See Def.'s Ex. 16...",,
2009,,U.S. v. Volungus,https://www.westlaw.com/Document/I6a7ee78f053911deb7e683ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=816&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Massachusetts.",27-Feb-09,599 F.Supp.2d 68,2009 WL 489838,CIV.A.07-12060-GAO,CRIMINAL JUSTICE - Sex Offenders. Congress exceeded its Commerce Clause authority by enacting statute authorizing civil commitment of sexually dangerous persons.,...418 F.3d at 6 (contending that a school district's noncompetitive transfer plan violated the Equal Protection Clause of the Fourteenth...,,,
2006,,"United Seating & Mobility, LLC. v. Homen",https://www.westlaw.com/Document/I684aadfda90b11da8ccbb4c14e983401/View/FullText.html?listSource=Search&list=CASE&rank=332&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Missouri, Eastern Division.",28-Feb-06,Not Reported in F.Supp.2d,2006 WL 473739,4:05CV2208JCH,"This matter is before the Court on Plaintiff's Motion to Remand, filed November 28, 2005. (Doc. No. 6). The matter is fully briefed and ready for disposition. By way of background, Plaintiff filed its original Petition for Damages and Injunctive Relief in this matter in the Circuit Court of the County of St. Louis, Missouri, on November 18, 2005....","...Plaintiff alleges two counts of breach of a Non-Disclosure, Non- Competition, Non-Solicitation Agreement (the Contract). (Compl., PP. 2-6). Specifically...",,,
2007,,"Pong v. American Capital Holdings, Inc.",https://www.westlaw.com/Document/I3855a038cc2a11dbbac2bdccc67d8763/View/FullText.html?listSource=Search&list=CASE&rank=681&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. California.",28-Feb-07,Not Reported in F.Supp.2d,2007 WL 657790,CIV.S-06-2527LKK/DAD,"David W. Pong, plaintiff, brings suit for breach of contract and other claims related to a fraudulent investment scheme. The complaint was originally filed in state court and was removed based on diversity jurisdiction. Pending before the court is a motion to dismiss for improper venue and lack of personal jurisdiction filed by three of the named...","...than Oregon law and, therefore, failed to prove that the Noncompete Clause would be enforced any differently in Illinois. Gagnon v...",,,
2008,,"Eberspaecher North America, Inc. v. Van-Rob, Inc.",https://www.westlaw.com/Document/Ib3e5aa59e9f311dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=661&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Michigan, Southern Division.",28-Feb-08,544 F.Supp.2d 592,2008 WL 564864,06-15752,COMMERCIAL LAW - Injunction. Manufacturer was not entitled to preliminary injunction requiring supplier to continue supplying parts at earlier price.,"...1568, 157172 (E.D.Mich.1996) (declining to hold that a Non  Competition Agreement was unreasonable and unenforceable).  ENA also argues that the...",,,
2008,,"Apple Industries, Inc. v. Merit Industries, Inc.",https://www.westlaw.com/Document/Idc63801189c811e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=303&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. New York.",29-Feb-08,Not Reported in F.Supp.2d,2008 WL 10665120,07CV1216 ADS ARL,"This action arises out of the alleged breach of a mutual confidential disclosure agreement, which the parties entered into in contemplation of jointly developing an unusual type of arcade game. The following facts are derived from the plaintiff's complaint and taken as true for the purposes of this motion. The plaintiff, Apple Industries, Inc....","...718 (Pa.Super.Ct.1997) , an action arising from breach of a non- compete agreement in connection with the purchase of a business, the...","...Further, in another case involving a breach of an employee non- compete agreement, the Superior Court of Pennsylvania upheld an award of...",...the court held that the very inclusion of confidentiality and non- compete provisions in a joint venture agreement indicated that the parties...,
2008,,"Guang Dong Light Headgear Factory Co., Ltd. v. ACI Intern., Inc.",https://www.westlaw.com/Document/Ia3e172cdbaf411dc9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=70&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Kansas.",2-Jan-08,Not Reported in F.Supp.2d,2008 WL 53665,03-4165-JAR,"The Court now considers third-party defendants Alex He and ATTA International Inc.'s (ATTA) Motion for Summary Judgment (Doc. 178) and Motion to Strike (Doc. 196). These motions are now fully briefed and the Court is prepared to rule. As described more fully below, the Court denies the motion for summary judgment and grants in part...",...on this evidence in deciding the validity of Alex He's non- competition agreement. The Court grants third-party defendants' motion to strike...,...breach of fiduciary duty against Alex He; (2) violation of non- competition agreement against Alex He; (3) fraud against Alex He; (4...,"...2000. As a condition of employment, Alex He signed ACI's Non- competition and Confidentiality Policy on March 7, 2000. The policy states...",...for his own personal use. ACI also points to the non- competition agreements and non-disclosure agreements that it entered into with...
2005,,"Connelly v. ValueVision Media, Inc.",https://www.westlaw.com/Document/I88c882605f7311d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CASE&rank=226&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Minnesota.",3-Jan-05,393 F.Supp.2d 767,2005 WL 19453,CIV.04-4559 DWF/FLN,TRADEMARKS - Injunction. Television program host showed likelihood of success on trademark infringement claim against a jewelry seller.,...Ex. C ¶8.) The 1999 Agreement also contained a non- competition provision prohibiting Connelly from owning or participating in a Restricted...,"...network and continues to be subject to a six-month non- compete provision. When the non- competition period expires in 2005, Connelly plans to sell the Sincerely...",,
2005,,Deaton v. C.I.R.,https://www.westlaw.com/Document/I78c34694cebb11d9bf60c1d57ebc853e/View/FullText.html?listSource=Search&list=CASE&rank=405&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,United States Tax Court.,3-Jan-05,T.C. Memo. 2005-1,2005 WL 1249376,"12375-01L, 11121-02L","TAXATION - Refunds. Remittance was ""payment","rather than ""deposit",for purposes of claim for offset.,,
2006,,"Karas v. Katten Muchin Zavis Rosenman, a partnership",https://www.westlaw.com/Document/I339124b27e0411da9cfda9de91273d56/View/FullText.html?listSource=Search&list=CASE&rank=103&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. New York.",3-Jan-06,Not Reported in F.Supp.2d,2006 WL 20507,04 CIV. 9570 (SHS),"This action involves a dispute over the interpretation and validity of an agreement between a patent lawyer and his former employer. Aaron B. Karas, a patent lawyer formerly working as counsel to the law firm Rosenman & Colin pursuant to terms set forth in a written agreement (the Agreement), brings this action pro se against the law firm of...","...are not wages, and Karas challenges the validity of a non- compete clause which conditions his receipt of those same payments upon...","...claim for restraint of trade challenging the validity of the non- compete clause in the Agreement survives defendant's motion to dismiss, but...","...Colin. In his third claim, Karas alleges that the Agreement's non- compete provision is void in violation of public policy as reflected...",...half of the purchase price was in consideration for a covenant not to compete. See 205 F.Supp. at 703-04 That claim resulted in...
2006,,"eAcceleration Corp. v. Trend Micro, Inc",https://www.westlaw.com/Document/I0db9db907df311daa185802c1acfea7e/View/FullText.html?listSource=Search&list=CASE&rank=476&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Washington, at Seattle.",3-Jan-06,408 F.Supp.2d 1110,2006 WL 16322,C05-1543Z,"TRADEMARKS - Marks and Logos. Software manufacturer, accused by competitor of trademark infringement, was likely to prevail on fair use defense.","...marksthose marks with such powerful consumer associations that even non- competing uses can impinge their value. Thane, 305 F.3d at...",,,
2006,,"Plate Fabrication & Machining, Inc. v. Beiler",https://www.westlaw.com/Document/I3193ac5f7d5311da9cfda9de91273d56/View/FullText.html?listSource=Search&list=CASE&rank=142&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",3-Jan-06,Not Reported in F.Supp.2d,2006 WL 14515,CIV.A.05-2276,"Plate Fabrication & Machining, Inc. (Plate) moves this Court to bar a company formed by its former president, Allen Beiler, from competing with Plate for a contract to provide armor for military vehicles in Iraq. Beiler claims the employment agreement he signed with Plate does not cover the contract for armor. I find the agreement precludes Beiler...","...interests that have been recognized in the context of a non- competition covenant include trade secrets or confidential information, unique or extraordinary skills...","...922). More importantly, [a]n employer's right to protect, by a covenant not to compete, interest in customer goodwill acquired through the efforts of an...",,
2008,,"In re Teligent, Inc.",https://www.westlaw.com/Document/I3955c2b2ba1a11dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=694&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, S.D. New York.",3-Jan-08,380 B.R. 324,2008 WL 43878,"01-12974(SMB), ADV. 03-02523",BANKRUPTCY - Avoidance. Payments in reimbursement of alleged business expenses were not in ordinary course of business.,"...$12 million obligation. Teligent also released Mandl from his covenant not to compete (DX C at ¶6), and agreed to reimburse his...",,,
2008,,Proudfoot Consulting Company v. Gordon,https://www.westlaw.com/Document/Ic33a4ff0258b11e7815ea6969ee18a03/View/FullText.html?listSource=Search&list=CASE&rank=153&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Florida.",4-Jan-08,Slip Copy,2008 WL 11333145,06-80959-CIV,"THIS CAUSE is before the Court on Defendant's Motion in Limine (D.E. # 59). This matter was referred to the Court by the Honorable Donald M. Middlebrooks, United States District Judge for the Southern District of Florida, after the parties consented to trial before the undersigned United States Magistrate Judge. In view of said consent, the...","...that an injunction and compensatory damages for breach of a non- compete agreement are proper remedies, provided that the compensatory damages and...","...of irreparable injury arising out of his violation of a covenant not to compete, for purposes of a temporary injunction, where the clinic's CEO...",,
2008,,"Adbar Co., L.C. v. PCAA Missouri, LLC",https://www.westlaw.com/Document/I2c096de6be0d11dcb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=579&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Missouri, Eastern Division.",4-Jan-08,Not Reported in F.Supp.2d,2008 WL 68858,4:06-CV-1689 (JCH),"The matter is before the Court on Defendant's Motion for Summary Judgment, filed October 31, 2007. (Doc. No. 27). The matter is fully briefed and ready for disposition. Plaintiff Adbar Company is a Missouri limited liability company that engages in real estate development. (Pet., Doc. No. 1 at ¶ 1; Def.'s Memo. in Supp. of its Sum. J. Mot. (Memo....","...free assignment of the lease and whether it contained a non- compete clause. Frederick Bus. Props. Co. v. Peoples Drug Stores, Inc...",,,
2005,,In re Terazosin Hydrochloride Antitrust Litigation,https://www.westlaw.com/Document/I77ff5efb6f0311d9bd09d9bdc1d194d4/View/FullText.html?listSource=Search&list=CASE&rank=454&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Florida.",5-Jan-05,352 F.Supp.2d 1279,2005 WL 147395,99-MDL-1317SEITZ,ANTITRUST - Horizontal Restraints. Agreement not to market generic version of patented drug was horizontal restraint of trade.,"...agreements that are anticompetitive when considered in isolation (such as covenants not to compete) can still be lawful, if they are viewed as ancillary...",,,
2006,,"Wuxi Multimedia, Ltd. v. Koninklijke Philips Electronics, N.V.",https://www.westlaw.com/Document/I55aa49ab351a11e088699d6fd571daba/View/FullText.html?listSource=Search&list=CASE&rank=355&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. California.",5-Jan-06,Not Reported in F.Supp.2d,2006 WL 6667002,04CV1136 DMS BLM,ANTITRUST - Pricing. Licensee's allegations that licensing fee was based on revenue was insufficient to plead price discrimination under the Sherman Act.,"...4) the patent-pooling arrangement contains an illegal grant-back/ non- competition/exclusion clause, (5) Defendants have engaged in a group boycott...","...mandatory royalties for expired and invalid patents, (5) grant-back/ non- compete and exclusionary clauses, and (6) group boycott. 1. Price Fixing...","...grants Defendants' motion to dismiss this claim. 5. GrantBack/ Non  Compete/Exclusionary Clauses In their next claim, Plaintiffs allege Defendants' license...",
2006,,Degani v. The Community Hosp.,https://www.westlaw.com/Document/I05d27867801c11da8ccab4c14e983401/View/FullText.html?listSource=Search&list=CASE&rank=465&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Indiana, Hammond Division.",5-Jan-06,Not Reported in F.Supp.2d,2006 WL 36969,2:04-CV-398-PRC,"This matter is before the Court on (1) Plaintiffs' Motion for Summary Judgment on Defendant's Counterclaim [DE 104], filed by the Plaintiffs, Joy Degani, M.D. and Daniel Levinthal, M.D. (Doctors), on December 20, 2005, and (2) The Community Hospital's Motion to Strike [DE 124], filed by the Defendant, The Community Hospital (Hospital), on...",...seeks (1) declaratory judgment that the Doctors' employment contracts and covenants not to compete are valid and are in full force and effect; (2...,,,
2010,,"Kennedy v. WLS Surgical Associates, P.A.",https://www.westlaw.com/Document/I636443f7faba11deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=185&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Texas, Dallas Division.",5-Jan-10,Not Reported in F.Supp.2d,2010 WL 23167,CIV.A. 309-CV-1630-M,"Before the Court are a Motion to Dismiss Plaintiff's ERISA claims for failure to exhaust administrative remedies, and a Motion to Dismiss Plaintiff's state law claims for lack of subject matter jurisdiction [Docket Entry # 9] filed by Defendants WLS Surgical Associates, P.A. (WLS), General and Oncology Surgical Associates, P.A. (GOSA), and...","...the breach. Finally, Kennedy seeks a declaratory judgment that the non- compete covenants in the WLS Agreement and GOSA Agreement are unenforceable under...",,,
2010,,"Dental Health Products, Inc. v. Ringo",https://www.westlaw.com/Document/Ica216900fdc711deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=271&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Wisconsin.",5-Jan-10,Not Reported in F.Supp.2d,2010 WL 55839,08-C-1039,LABOR AND EMPLOYMENT - Contracts. Employee failed to establish that non-compete provision in an employment agreement were subject to conditions precedent.,...2) k. Restriction of Competition. Employee failed to establish that non- compete provisions in an employment agreement were subject to conditions precedent...,"...at issue. Generally, the complaint alleges that Defendant Ringo breached non- compete and confidentiality agreements he entered into with his then-employer...",,
2005,,"Team Tires Plus, Ltd. v. Tires Plus, Inc.",https://www.westlaw.com/Document/Ia4a3e7868bca11d98aaaa007097b7893/View/FullText.html?listSource=Search&list=CASE&rank=190&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Tenth Circuit.",6-Jan-05,394 F.3d 831,2005 WL 23687,03-2300,TRADEMARKS - Registration. Retail automobile tire store franchisor's Tires Plus mark covered franchising.,"...Formerly 382k331 Trademark rights protect against use of mark on non- competing but  related  goods, i.e., any good related in minds of...",...Trademark Act provided protection against the use of marks on non- competing goods of the same descriptive class as the goods covered...,,
2006,,"Harris v. TMNG Technologies, Inc.",https://www.westlaw.com/Document/I2cddfe54814a11da9cfda9de91273d56/View/FullText.html?listSource=Search&list=CASE&rank=413&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Ohio, Eastern Division.",6-Jan-06,Not Reported in F.Supp.2d,2006 WL 39261,2:04-CV-574,"This matter is before the Court for consideration of Defendants' motion for summary judgment (Doc. # 33), Plaintiffs' memorandum in opposition (Doc. # 41), and Defendants' reply (Doc. # 42). For the reasons that follow, this Court finds the motion well taken in regard to the promissory estoppel claims, but not well taken in regard to the breach of...",...assert that they offered the amendments in exchange for a non- competition agreement from Plaintiffs and not to induce Plaintiffs to remain...,,,
2010,,"JNJ Greens, LLC v. Golf Greens Fore ""U"", LLC",https://www.westlaw.com/Document/I9d14a390cbc911e7adf1d38c358a4230/View/FullText.html?listSource=Search&list=CASE&rank=519&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. New Jersey.",6-Jan-10,Slip Copy,2010 WL 11570216,CV 09-02465 (JAP),"Plaintiffs JNJ Greens LLC and Joseph Ali bring this action based on a commercial transaction with the Defendants Golf Greens Fore U, LLC, James W. Hudson, Jamie Hudson and David Maronic. In their Complaint, Plaintiffs allege violations of the Illinois Franchise Discolsure Act, breach of the covenant not to compete, tortious...","...violations of the Illinois Franchise Discolsure Act, breach of the covenant not to compete, tortious intereference with contractual relations, tortious interference with prospective economic...",,,
